Model,Attack,Partition,Aggregator,Iteration,TestAccuracy,TestLoss,xi,A
mlp,static,iid,Mean,44,0.1335,2.292584888076782,0.08275668323040009,0.16113966703414917
mlp,static,iid,Mean,45,0.1363,2.2922559585571287,0.084131620824337,0.16985149681568146
mlp,static,iid,Mean,46,0.1393,2.2919252151489258,0.08148243278265,0.16789217293262482
mlp,static,iid,Mean,47,0.141,2.291592932510376,0.07710742205381393,0.17009004950523376
mlp,static,iid,Mean,48,0.1449,2.2912573375701903,0.07640178501605988,0.1718195527791977
mlp,static,iid,Mean,49,0.1481,2.290923334503174,0.07373829931020737,0.166411891579628
mlp,static,iid,TriMean,0,0.0988,2.3049722732543945,0.2653276026248932,0.3030241131782532
mlp,static,iid,TriMean,1,0.1008,2.304598391342163,0.23647020757198334,0.2860604226589203
mlp,static,iid,TriMean,2,0.1035,2.3042167095184327,0.2196251004934311,0.2586050033569336
mlp,static,iid,TriMean,3,0.1054,2.3038349170684813,0.20069633424282074,0.23893433809280396
mlp,static,iid,TriMean,4,0.1067,2.303450016403198,0.18480393290519714,0.22692753374576569
mlp,static,iid,TriMean,5,0.1095,2.3030638622283934,0.17116262018680573,0.21524938941001892
mlp,static,iid,TriMean,6,0.1115,2.3026743320465086,0.16250620782375336,0.20923356711864471
mlp,static,iid,TriMean,7,0.1147,2.3022817653656005,0.15065547823905945,0.19963355362415314
mlp,static,iid,TriMean,8,0.117,2.3018895191192628,0.14345379173755646,0.19940990209579468
mlp,static,iid,TriMean,9,0.119,2.301496537780762,0.13169005513191223,0.19416849315166473
mlp,static,iid,TriMean,10,0.1219,2.301102641296387,0.12653668224811554,0.18758757412433624
mlp,static,iid,TriMean,11,0.1248,2.3007068153381347,0.12395089864730835,0.18554812669754028
mlp,static,iid,TriMean,12,0.1278,2.3003110206604003,0.11726754903793335,0.17814674973487854
mlp,static,iid,TriMean,13,0.1303,2.2999163429260254,0.10869678109884262,0.17602358758449554
mlp,static,iid,TriMean,14,0.1333,2.2995218505859376,0.09582389146089554,0.18301671743392944
mlp,static,iid,TriMean,15,0.1355,2.2991219017028808,0.10276149958372116,0.18167603015899658
mlp,static,iid,TriMean,16,0.1375,2.2987161987304687,0.08833335340023041,0.17758813500404358
