Model,Attack,Partition,Aggregator,Iteration,TestAccuracy,TestLoss,xi,A
mlp,dynamic,iid,Mean,39,0.101,2.3016065967559816,0.06525662541389465,0.8092944025993347
mlp,dynamic,iid,Mean,40,0.101,2.3013906177520753,0.06087721511721611,0.801199734210968
mlp,dynamic,iid,Mean,41,0.101,2.3011776565551756,0.06067517027258873,0.7970620393753052
mlp,dynamic,iid,Mean,42,0.101,2.3009659542083742,0.0616011843085289,0.7942186594009399
mlp,dynamic,iid,Mean,43,0.101,2.3007578456878663,0.061355944722890854,0.7911125421524048
mlp,dynamic,iid,Mean,44,0.101,2.3005481689453124,0.05949201062321663,0.7855014801025391
mlp,dynamic,iid,Mean,45,0.101,2.3003406314849855,0.0634002760052681,0.774616539478302
mlp,dynamic,iid,Mean,46,0.101,2.300135206222534,0.05948948860168457,0.769171953201294
mlp,dynamic,iid,Mean,47,0.101,2.299930043792725,0.0618218258023262,0.769330620765686
mlp,dynamic,iid,Mean,48,0.101,2.2997276111602782,0.05353005975484848,0.7558699250221252
mlp,dynamic,iid,Mean,49,0.101,2.299527271270752,0.05383116006851196,0.7506876587867737
mlp,dynamic,iid,TriMean,0,0.0994,2.315346612930298,0.3031420409679413,1.4879311323165894
mlp,dynamic,iid,TriMean,1,0.0995,2.3149835029602053,0.2693079113960266,1.4861316680908203
mlp,dynamic,iid,TriMean,2,0.0997,2.314619458389282,0.2334175854921341,1.4853947162628174
mlp,dynamic,iid,TriMean,3,0.0996,2.314257992553711,0.2081599086523056,1.480009913444519
mlp,dynamic,iid,TriMean,4,0.0997,2.31389727935791,0.19039832055568695,1.4785007238388062
mlp,dynamic,iid,TriMean,5,0.1,2.31353973197937,0.17708517611026764,1.4772510528564453
mlp,dynamic,iid,TriMean,6,0.1005,2.3131840644836426,0.1652056723833084,1.475645899772644
mlp,dynamic,iid,TriMean,7,0.1005,2.3128322101593017,0.15543875098228455,1.4753203392028809
mlp,dynamic,iid,TriMean,8,0.1012,2.312481061935425,0.13708670437335968,1.4742215871810913
mlp,dynamic,iid,TriMean,9,0.1016,2.3121296005249024,0.12343990802764893,1.4793676137924194
mlp,dynamic,iid,TriMean,10,0.1018,2.311781890487671,0.11825075000524521,1.474938988685608
mlp,dynamic,iid,TriMean,11,0.1022,2.3114380062103272,0.11175859719514847,1.4677577018737793
mlp,dynamic,iid,TriMean,12,0.1028,2.311094040298462,0.10736537724733353,1.4714473485946655
mlp,dynamic,iid,TriMean,13,0.1031,2.310751446533203,0.10279787331819534,1.469953179359436
