Model,Attack,Partition,Aggregator,Iteration,TestAccuracy,TestLoss,xi,A
cnn,static,iid,Mean,25,0.1153,2.296972632217407,0.07876019179821014,0.14014312624931335
cnn,static,iid,Mean,26,0.1174,2.2968262592315676,0.09480131417512894,0.14957821369171143
cnn,static,iid,Mean,27,0.1191,2.296682543182373,0.07887532562017441,0.16079646348953247
cnn,static,iid,Mean,28,0.1204,2.2965408477783202,0.07279941439628601,0.15409231185913086
cnn,static,iid,Mean,29,0.1224,2.296399780654907,0.07683640718460083,0.1559014916419983
cnn,static,iid,Mean,30,0.1247,2.2962585327148437,0.0776238963007927,0.16012534499168396
cnn,static,iid,Mean,31,0.1281,2.2961183807373047,0.08029338717460632,0.15707485377788544
cnn,static,iid,Mean,32,0.1303,2.2959783882141114,0.08070025593042374,0.16277918219566345
cnn,static,iid,Mean,33,0.1327,2.295837733459473,0.08663228899240494,0.15636686980724335
cnn,static,iid,Mean,34,0.135,2.2956963096618654,0.08884283155202866,0.15114489197731018
cnn,static,iid,Mean,35,0.1369,2.2955562244415284,0.0879388302564621,0.15187373757362366
cnn,static,iid,Mean,36,0.1393,2.295417195892334,0.07960882782936096,0.1376132220029831
cnn,static,iid,Mean,37,0.1415,2.295279587936401,0.07292188704013824,0.13249807059764862
cnn,static,iid,Mean,38,0.144,2.2951425636291503,0.0818561241030693,0.13077892363071442
cnn,static,iid,Mean,39,0.1464,2.2950059936523437,0.07692847400903702,0.14347150921821594
cnn,static,iid,Mean,40,0.1478,2.2948696155548096,0.07961539179086685,0.13910949230194092
cnn,static,iid,Mean,41,0.1498,2.2947326168060305,0.08195694535970688,0.13926063477993011
cnn,static,iid,Mean,42,0.1519,2.2945949184417724,0.0911950170993805,0.13575628399848938
cnn,static,iid,Mean,43,0.1531,2.2944547981262207,0.09925611317157745,0.14295727014541626
cnn,static,iid,Mean,44,0.1539,2.2943149810791015,0.08725155144929886,0.1417447179555893
cnn,static,iid,Mean,45,0.1544,2.294175549316406,0.08909650146961212,0.1356767863035202
cnn,static,iid,Mean,46,0.1556,2.2940364818573,0.08808573335409164,0.13203078508377075
cnn,static,iid,Mean,47,0.1573,2.2938983749389648,0.0937047153711319,0.13148145377635956
cnn,static,iid,Mean,48,0.1584,2.2937589782714842,0.09484049677848816,0.12919119000434875
cnn,static,iid,Mean,49,0.1589,2.2936183055877684,0.09895581752061844,0.1374819576740265
cnn,static,iid,TriMean,0,0.0958,2.3063128337860106,0.2839556932449341,0.27673736214637756
cnn,static,iid,TriMean,1,0.0958,2.306095763397217,0.2585577368736267,0.253324031829834
cnn,static,iid,TriMean,2,0.0958,2.3058768699645995,0.23591116070747375,0.24798403680324554
cnn,static,iid,TriMean,3,0.0958,2.305658656692505,0.2264234721660614,0.23353491723537445
cnn,static,iid,TriMean,4,0.0958,2.30544754447937,0.21856243908405304,0.23134183883666992
cnn,static,iid,TriMean,5,0.0958,2.305232151031494,0.19128282368183136,0.20663902163505554
cnn,static,iid,TriMean,6,0.0958,2.305014629745483,0.17976437509059906,0.18757635354995728
cnn,static,iid,TriMean,7,0.0958,2.304796803665161,0.16542556881904602,0.17842796444892883
cnn,static,iid,TriMean,8,0.0958,2.3045783683776855,0.1590910255908966,0.17129702866077423
cnn,static,iid,TriMean,9,0.0958,2.304359503173828,0.14118000864982605,0.16432450711727142
cnn,static,iid,TriMean,10,0.0958,2.3041387802124023,0.12927013635635376,0.1504879742860794
cnn,static,iid,TriMean,11,0.0958,2.3039192066192626,0.12733730673789978,0.15413543581962585
cnn,static,iid,TriMean,12,0.0958,2.3036961490631103,0.12921670079231262,0.14506348967552185
cnn,static,iid,TriMean,13,0.0958,2.30347045211792,0.13140344619750977,0.1463758647441864
cnn,static,iid,TriMean,14,0.0958,2.3032493579864504,0.1235048919916153,0.13401389122009277
cnn,static,iid,TriMean,15,0.0958,2.3030325592041017,0.11537216603755951,0.13583704829216003
cnn,static,iid,TriMean,16,0.0958,2.302820645523071,0.0973316878080368,0.1378946751356125
