Model,Attack,Partition,Aggregator,Iteration,TestAccuracy,TestLoss,xi,A
cnn,dynamic,iid,Mean,20,0.0893,2.2981466144561766,0.08172418922185898,0.8371762037277222
cnn,dynamic,iid,Mean,21,0.0895,2.29790362739563,0.0948992595076561,0.7976639270782471
cnn,dynamic,iid,Mean,22,0.0895,2.297660562515259,0.09377162158489227,0.7640810608863831
cnn,dynamic,iid,Mean,23,0.0897,2.2974161201477052,0.08807116746902466,0.7235291004180908
cnn,dynamic,iid,Mean,24,0.09,2.297171427154541,0.08555221557617188,0.6918554902076721
cnn,dynamic,iid,Mean,25,0.09,2.2969240673065188,0.08760537952184677,0.6471040844917297
cnn,dynamic,iid,Mean,26,0.0904,2.2966756214141846,0.08793570101261139,0.6036967039108276
cnn,dynamic,iid,Mean,27,0.0904,2.2964283264160157,0.08892594277858734,0.5806412696838379
cnn,dynamic,iid,Mean,28,0.0906,2.2961792148590088,0.08058010786771774,0.5635905861854553
cnn,dynamic,iid,Mean,29,0.091,2.2959302631378176,0.08617767691612244,0.5411729216575623
cnn,dynamic,iid,Mean,30,0.0911,2.295683723068237,0.08310990035533905,0.5297016501426697
cnn,dynamic,iid,Mean,31,0.0916,2.2954385147094727,0.07584236562252045,0.5184086561203003
cnn,dynamic,iid,Mean,32,0.0918,2.2951991321563723,0.08136362582445145,0.5082888603210449
cnn,dynamic,iid,Mean,33,0.092,2.2949628761291505,0.08059511333703995,0.5000108480453491
cnn,dynamic,iid,Mean,34,0.0925,2.2947270065307617,0.07760675996541977,0.5015465617179871
cnn,dynamic,iid,Mean,35,0.0932,2.2944952377319336,0.08045612275600433,0.4973825216293335
cnn,dynamic,iid,Mean,36,0.0938,2.2942654876708986,0.08176184445619583,0.4848020374774933
cnn,dynamic,iid,Mean,37,0.0942,2.294039764404297,0.08017652481794357,0.4745348393917084
cnn,dynamic,iid,Mean,38,0.0946,2.2938157337188723,0.0815243199467659,0.4639596939086914
cnn,dynamic,iid,Mean,39,0.0952,2.2935939853668215,0.0945020392537117,0.460268497467041
cnn,dynamic,iid,Mean,40,0.0953,2.2933757480621337,0.09684298187494278,0.45457953214645386
cnn,dynamic,iid,Mean,41,0.096,2.293159561538696,0.09734806418418884,0.4422759413719177
cnn,dynamic,iid,Mean,42,0.0966,2.2929461673736573,0.07975263893604279,0.4398272633552551
cnn,dynamic,iid,Mean,43,0.0975,2.292736520385742,0.08414892852306366,0.4402620494365692
cnn,dynamic,iid,Mean,44,0.0979,2.2925293003082277,0.08383320271968842,0.4264422655105591
cnn,dynamic,iid,Mean,45,0.0993,2.29232381401062,0.08150489628314972,0.42659708857536316
cnn,dynamic,iid,Mean,46,0.1002,2.292121337890625,0.07423819601535797,0.4316980540752411
cnn,dynamic,iid,Mean,47,0.101,2.29191835975647,0.07923007011413574,0.42741143703460693
cnn,dynamic,iid,Mean,48,0.1026,2.291716478729248,0.0823434442281723,0.4257955551147461
cnn,dynamic,iid,Mean,49,0.1027,2.291516363525391,0.0895305946469307,0.4254983067512512
cnn,dynamic,iid,TriMean,0,0.1137,2.301649630355835,0.26587536931037903,1.6557719707489014
cnn,dynamic,iid,TriMean,1,0.1139,2.3014734642028807,0.24625954031944275,1.6548161506652832
cnn,dynamic,iid,TriMean,2,0.1142,2.30130029258728,0.23742185533046722,1.6403239965438843
cnn,dynamic,iid,TriMean,3,0.115,2.301129655456543,0.21945084631443024,1.637384295463562
cnn,dynamic,iid,TriMean,4,0.1154,2.3009604122161864,0.19098404049873352,1.6291494369506836
cnn,dynamic,iid,TriMean,5,0.1161,2.300792638015747,0.1773718297481537,1.6088241338729858
cnn,dynamic,iid,TriMean,6,0.1178,2.3006247024536135,0.16510404646396637,1.5799851417541504
cnn,dynamic,iid,TriMean,7,0.1194,2.300456213378906,0.15380293130874634,1.5632303953170776
cnn,dynamic,iid,TriMean,8,0.1207,2.300289959335327,0.15232554078102112,1.541833519935608
cnn,dynamic,iid,TriMean,9,0.1222,2.3001242561340334,0.1337672472000122,1.5139179229736328
cnn,dynamic,iid,TriMean,10,0.1239,2.299960279083252,0.11523419618606567,1.4824007749557495
cnn,dynamic,iid,TriMean,11,0.1252,2.299798266983032,0.10385892540216446,1.4408000707626343
cnn,dynamic,iid,TriMean,12,0.1266,2.2996396045684815,0.10193255543708801,1.4062175750732422
