Dataset,Model,Attack,Partition,Aggregator,Iteration,Metric,Mean,CI
MNIST,softmax,static,dirichlet,Mean,62,losses,1.8711432540893556,nan
MNIST,softmax,static,dirichlet,Mean,63,losses,1.8711432540893556,nan
MNIST,softmax,static,dirichlet,Mean,64,losses,1.8711432540893556,nan
MNIST,softmax,static,dirichlet,Mean,65,losses,1.8711432540893556,nan
MNIST,softmax,static,dirichlet,Mean,66,losses,1.8711432540893556,nan
MNIST,softmax,static,dirichlet,Mean,67,losses,1.8711432540893556,nan
MNIST,softmax,static,dirichlet,Mean,68,losses,1.8711432540893556,nan
MNIST,softmax,static,dirichlet,Mean,69,losses,1.8711432540893556,nan
MNIST,softmax,static,dirichlet,Mean,70,losses,1.818416672706604,nan
MNIST,softmax,static,dirichlet,Mean,71,losses,1.818416672706604,nan
MNIST,softmax,static,dirichlet,Mean,72,losses,1.818416672706604,nan
MNIST,softmax,static,dirichlet,Mean,73,losses,1.818416672706604,nan
MNIST,softmax,static,dirichlet,Mean,74,losses,1.818416672706604,nan
MNIST,softmax,static,dirichlet,Mean,75,losses,1.818416672706604,nan
MNIST,softmax,static,dirichlet,Mean,76,losses,1.818416672706604,nan
MNIST,softmax,static,dirichlet,Mean,77,losses,1.818416672706604,nan
MNIST,softmax,static,dirichlet,Mean,78,losses,1.818416672706604,nan
MNIST,softmax,static,dirichlet,Mean,79,losses,1.818416672706604,nan
MNIST,softmax,static,dirichlet,Mean,80,losses,1.7690657068252564,nan
MNIST,softmax,static,dirichlet,Mean,81,losses,1.7690657068252564,nan
MNIST,softmax,static,dirichlet,Mean,82,losses,1.7690657068252564,nan
MNIST,softmax,static,dirichlet,Mean,83,losses,1.7690657068252564,nan
MNIST,softmax,static,dirichlet,Mean,84,losses,1.7690657068252564,nan
MNIST,softmax,static,dirichlet,Mean,85,losses,1.7690657068252564,nan
MNIST,softmax,static,dirichlet,Mean,86,losses,1.7690657068252564,nan
MNIST,softmax,static,dirichlet,Mean,87,losses,1.7690657068252564,nan
MNIST,softmax,static,dirichlet,Mean,88,losses,1.7690657068252564,nan
MNIST,softmax,static,dirichlet,Mean,89,losses,1.7690657068252564,nan
MNIST,softmax,static,dirichlet,Mean,90,losses,1.7236351459503174,nan
MNIST,softmax,static,dirichlet,Mean,91,losses,1.7236351459503174,nan
MNIST,softmax,static,dirichlet,Mean,92,losses,1.7236351459503174,nan
MNIST,softmax,static,dirichlet,Mean,93,losses,1.7236351459503174,nan
MNIST,softmax,static,dirichlet,Mean,94,losses,1.7236351459503174,nan
MNIST,softmax,static,dirichlet,Mean,95,losses,1.7236351459503174,nan
MNIST,softmax,static,dirichlet,Mean,96,losses,1.7236351459503174,nan
MNIST,softmax,static,dirichlet,Mean,97,losses,1.7236351459503174,nan
MNIST,softmax,static,dirichlet,Mean,98,losses,1.7236351459503174,nan
MNIST,softmax,static,dirichlet,Mean,99,losses,1.7236351459503174,nan
MNIST,softmax,static,dirichlet,Mean,100,losses,1.6800781454086304,nan
MNIST,softmax,static,dirichlet,Mean,101,losses,1.6800781454086304,nan
MNIST,softmax,static,dirichlet,Mean,102,losses,1.6800781454086304,nan
MNIST,softmax,static,dirichlet,Mean,103,losses,1.6800781454086304,nan
MNIST,softmax,static,dirichlet,Mean,104,losses,1.6800781454086304,nan
MNIST,softmax,static,dirichlet,Mean,105,losses,1.6800781454086304,nan
MNIST,softmax,static,dirichlet,Mean,106,losses,1.6800781454086304,nan
MNIST,softmax,static,dirichlet,Mean,107,losses,1.6800781454086304,nan
MNIST,softmax,static,dirichlet,Mean,108,losses,1.6800781454086304,nan
MNIST,softmax,static,dirichlet,Mean,109,losses,1.6800781454086304,nan
MNIST,softmax,static,dirichlet,Mean,110,losses,1.6393910942077636,nan
MNIST,softmax,static,dirichlet,Mean,111,losses,1.6393910942077636,nan
MNIST,softmax,static,dirichlet,Mean,112,losses,1.6393910942077636,nan
MNIST,softmax,static,dirichlet,Mean,113,losses,1.6393910942077636,nan
MNIST,softmax,static,dirichlet,Mean,114,losses,1.6393910942077636,nan
MNIST,softmax,static,dirichlet,Mean,115,losses,1.6393910942077636,nan
MNIST,softmax,static,dirichlet,Mean,116,losses,1.6393910942077636,nan
MNIST,softmax,static,dirichlet,Mean,117,losses,1.6393910942077636,nan
