Model,Attack,Partition,Aggregator,Iteration,TestAccuracy,TestLoss,xi,A
softmax,static,iid,Mean,42,0.6205,1.9564393955230712,0.33710697293281555,0.8590243458747864
softmax,static,iid,Mean,43,0.6251,1.9497954776763915,0.3412795960903168,0.8556337356567383
softmax,static,iid,Mean,44,0.6282,1.943201637840271,0.3102986812591553,0.8412461876869202
softmax,static,iid,Mean,45,0.632,1.9366474328994752,0.31305229663848877,0.8418195247650146
softmax,static,iid,Mean,46,0.6366,1.9301611782073975,0.2854977250099182,0.8470198512077332
softmax,static,iid,Mean,47,0.6414,1.9237677253723144,0.28789228200912476,0.864513099193573
softmax,static,iid,Mean,48,0.6435,1.9174228326797484,0.30590152740478516,0.8627956509590149
softmax,static,iid,Mean,49,0.6457,1.9111449224472046,0.3257659673690796,0.8694208860397339
softmax,static,iid,TriMean,0,0.1118,2.3061029907226565,1.3218953609466553,1.386671781539917
softmax,static,iid,TriMean,1,0.1296,2.296172529602051,1.1635079383850098,1.3269197940826416
softmax,static,iid,TriMean,2,0.1444,2.2862609943389893,1.0718872547149658,1.2748239040374756
softmax,static,iid,TriMean,3,0.1631,2.276302244186401,0.950124204158783,1.2221424579620361
softmax,static,iid,TriMean,4,0.1805,2.2664075813293456,0.8889081478118896,1.1501656770706177
softmax,static,iid,TriMean,5,0.2019,2.256511678314209,0.8548965454101562,1.1206693649291992
softmax,static,iid,TriMean,6,0.219,2.2466394157409666,0.7685351371765137,1.0732966661453247
softmax,static,iid,TriMean,7,0.2374,2.236792358779907,0.6750380396842957,1.050322413444519
softmax,static,iid,TriMean,8,0.2551,2.2269797695159914,0.628609836101532,1.0233031511306763
softmax,static,iid,TriMean,9,0.2723,2.217127613067627,0.57569420337677,1.0177525281906128
softmax,static,iid,TriMean,10,0.2896,2.2072743003845217,0.5139034390449524,0.9859076142311096
softmax,static,iid,TriMean,11,0.3057,2.197471547317505,0.4373604357242584,0.9514468312263489
softmax,static,iid,TriMean,12,0.3244,2.187698694610596,0.4014509320259094,0.9344367980957031
softmax,static,iid,TriMean,13,0.3417,2.1780356994628907,0.3966400623321533,0.921654999256134
softmax,static,iid,TriMean,14,0.3574,2.1684075080871583,0.3859080970287323,0.9011099934577942
softmax,static,iid,TriMean,15,0.3758,2.1588492427825927,0.36994001269340515,0.8744986057281494
softmax,static,iid,TriMean,16,0.3931,2.14935354347229,0.3848413825035095,0.8642891049385071
