Attack,Partition,Aggregator,Iteration,TestAccuracy,TestLoss,xi,A
dynamic,iid,CC,5,0.2559,2.2379888778686525,0.8897688984870911,2.4700379371643066
dynamic,iid,CC,6,0.2752,2.227674740600586,0.7830612063407898,2.391920804977417
dynamic,iid,CC,7,0.2907,2.2176486473083497,0.7003854513168335,2.2338130474090576
dynamic,iid,CC,8,0.3116,2.207902216720581,0.6248535513877869,2.1326630115509033
dynamic,iid,CC,9,0.3291,2.198447129058838,0.5690971612930298,1.9455829858779907
dynamic,iid,LFighter,0,0.1394,2.289902119445801,1.4571149349212646,3.7538247108459473
dynamic,iid,LFighter,1,0.1582,2.2788705299377443,1.3247370719909668,3.7203562259674072
dynamic,iid,LFighter,2,0.179,2.2678881523132324,1.2015528678894043,3.6042754650115967
dynamic,iid,LFighter,3,0.1984,2.2569568855285644,1.1087843179702759,3.496309518814087
dynamic,iid,LFighter,4,0.2157,2.2461255447387694,0.997205913066864,3.4498651027679443
dynamic,iid,LFighter,5,0.2348,2.2353330764770507,0.8546733260154724,3.320523500442505
dynamic,iid,LFighter,6,0.2517,2.224650277709961,0.8015861511230469,3.259514808654785
dynamic,iid,LFighter,7,0.2688,2.214037911224365,0.6906644701957703,3.19205379486084
dynamic,iid,LFighter,8,0.2828,2.203531705856323,0.6628633141517639,3.134894371032715
dynamic,iid,LFighter,9,0.2962,2.1930662048339844,0.6215482950210571,3.0576913356781006
dynamic,dirichlet,Mean,0,0.1164,2.2966484836578367,3.1220977306365967,2.6006247997283936
dynamic,dirichlet,Mean,1,0.1281,2.287447916030884,3.126948833465576,2.5908143520355225
dynamic,dirichlet,Mean,2,0.1397,2.278355103302002,3.0955772399902344,2.5912296772003174
dynamic,dirichlet,Mean,3,0.1513,2.269450810623169,3.026172637939453,2.609844923019409
dynamic,dirichlet,Mean,4,0.1632,2.2606902755737304,3.044118881225586,2.5607004165649414
dynamic,dirichlet,Mean,5,0.1761,2.2521172119140624,3.024787425994873,2.497652769088745
dynamic,dirichlet,Mean,6,0.1906,2.243683423614502,3.0471134185791016,2.3735201358795166
dynamic,dirichlet,Mean,7,0.203,2.2353154766082763,3.06689190864563,2.3098671436309814
dynamic,dirichlet,Mean,8,0.216,2.2271293209075926,3.1504788398742676,2.17618989944458
dynamic,dirichlet,Mean,9,0.2294,2.219101066970825,3.1708736419677734,2.091378927230835
dynamic,dirichlet,TriMean,0,0.1728,2.277954591369629,3.608464479446411,2.767141819000244
dynamic,dirichlet,TriMean,1,0.179,2.269828825378418,3.55668044090271,2.700758457183838
dynamic,dirichlet,TriMean,2,0.1873,2.2619016262054443,3.484022617340088,2.5785410404205322
dynamic,dirichlet,TriMean,3,0.1973,2.2542257347106935,3.4194588661193848,2.434199810028076
dynamic,dirichlet,TriMean,4,0.2075,2.2467221897125245,3.3736460208892822,2.295823812484741
dynamic,dirichlet,TriMean,5,0.2225,2.239377896118164,3.3301913738250732,2.1691699028015137
dynamic,dirichlet,TriMean,6,0.2373,2.232153443145752,3.292386770248413,2.0570192337036133
dynamic,dirichlet,TriMean,7,0.2524,2.225044488525391,3.3078625202178955,1.9117659330368042
dynamic,dirichlet,TriMean,8,0.2676,2.2180435119628905,3.2730751037597656,1.8234068155288696
