dataset,n_clients,trial,partition_method,frac_one_class,mean_unique_classes,mean_entropy
digits,10,9,Dirichlet (α=10.0),0.0,10.0,0.9806302707592746
digits,10,9,Dirichlet (α=1.0),0.0,9.7,0.8579318149282938
digits,10,9,Dirichlet (α=0.5),0.0,8.9,0.7081121037213716
digits,10,9,Dirichlet (α=0.1),0.1,6.3,0.4712112290332409
digits,10,9,Forcé (1 classe/client),1.0,1.0,0.0
digits,10,10,IID,0.0,10.0,0.9880350929936232
digits,10,10,Dirichlet (α=10.0),0.0,10.0,0.9809853167604761
digits,10,10,Dirichlet (α=1.0),0.0,9.5,0.8384266768505301
digits,10,10,Dirichlet (α=0.5),0.0,9.5,0.7816778723844559
digits,10,10,Dirichlet (α=0.1),0.0,4.7,0.3175100587778762
digits,10,10,Forcé (1 classe/client),1.0,1.0,0.0
digits,10,11,IID,0.0,10.0,0.9914683761308245
digits,10,11,Dirichlet (α=10.0),0.0,10.0,0.9849965131899159
digits,10,11,Dirichlet (α=1.0),0.0,9.8,0.8388852559383653
digits,10,11,Dirichlet (α=0.5),0.0,9.1,0.7510725829253959
digits,10,11,Dirichlet (α=0.1),0.0,6.3,0.4412221906865084
digits,10,11,Forcé (1 classe/client),1.0,1.0,0.0
digits,10,12,IID,0.0,10.0,0.991733363633362
digits,10,12,Dirichlet (α=10.0),0.0,10.0,0.981254701997373
digits,10,12,Dirichlet (α=1.0),0.0,9.9,0.8782794571480694
digits,10,12,Dirichlet (α=0.5),0.0,8.9,0.696695932835737
digits,10,12,Dirichlet (α=0.1),0.0,5.7,0.43445100173050477
digits,10,12,Forcé (1 classe/client),1.0,1.0,0.0
digits,10,13,IID,0.0,10.0,0.9925733085389293
digits,10,13,Dirichlet (α=10.0),0.0,10.0,0.978413895828437
digits,10,13,Dirichlet (α=1.0),0.0,9.9,0.8806801123593226
digits,10,13,Dirichlet (α=0.5),0.0,9.2,0.7594096445095612
digits,10,13,Dirichlet (α=0.1),0.0,5.2,0.3825314710525649
digits,10,13,Forcé (1 classe/client),1.0,1.0,0.0
digits,10,14,IID,0.0,10.0,0.9900886029084394
digits,10,14,Dirichlet (α=10.0),0.0,10.0,0.9822620598959906
digits,10,14,Dirichlet (α=1.0),0.0,9.6,0.8544564967433438
digits,10,14,Dirichlet (α=0.5),0.0,9.2,0.7761843230522563
digits,10,14,Dirichlet (α=0.1),0.1,5.3,0.39208831520860155
digits,10,14,Forcé (1 classe/client),1.0,1.0,0.0
digits,10,15,IID,0.0,10.0,0.9906853565658041
digits,10,15,Dirichlet (α=10.0),0.0,10.0,0.9901187949408884
digits,10,15,Dirichlet (α=1.0),0.0,9.8,0.8919741113294852
digits,10,15,Dirichlet (α=0.5),0.0,9.0,0.7683800970363293
digits,10,15,Dirichlet (α=0.1),0.0,5.4,0.4387234559699073
digits,10,15,Forcé (1 classe/client),1.0,1.0,0.0
digits,10,16,IID,0.0,10.0,0.9928266288298524
digits,10,16,Dirichlet (α=10.0),0.0,10.0,0.9822846056671196
digits,10,16,Dirichlet (α=1.0),0.0,9.7,0.8508757736333419
digits,10,16,Dirichlet (α=0.5),0.0,9.4,0.7933742666636932
digits,10,16,Dirichlet (α=0.1),0.0,5.9,0.5171320397542002
digits,10,16,Forcé (1 classe/client),1.0,1.0,0.0
digits,10,17,IID,0.0,10.0,0.9907702201657969
digits,10,17,Dirichlet (α=10.0),0.0,10.0,0.9812838348804904
digits,10,17,Dirichlet (α=1.0),0.0,9.8,0.8554704716707213
digits,10,17,Dirichlet (α=0.5),0.0,8.9,0.7812897764347169
digits,10,17,Dirichlet (α=0.1),0.0,5.1,0.35526099441064685
digits,10,17,Forcé (1 classe/client),1.0,1.0,0.0
digits,10,18,IID,0.0,10.0,0.9913655166707891
digits,10,18,Dirichlet (α=10.0),0.0,10.0,0.9834561478677648
digits,10,18,Dirichlet (α=1.0),0.0,9.9,0.8430637261880571
digits,10,18,Dirichlet (α=0.5),0.0,9.5,0.7459654848614914
digits,10,18,Dirichlet (α=0.1),0.0,5.9,0.4782144765821606
digits,10,18,Forcé (1 classe/client),1.0,1.0,0.0
digits,10,19,IID,0.0,10.0,0.9897831110944182
digits,10,19,Dirichlet (α=10.0),0.0,10.0,0.9857614805833755
digits,10,19,Dirichlet (α=1.0),0.0,9.8,0.84254361270155
digits,10,19,Dirichlet (α=0.5),0.0,9.0,0.7691938580147266
digits,10,19,Dirichlet (α=0.1),0.0,6.1,0.5230461258051685
digits,10,19,Forcé (1 classe/client),1.0,1.0,0.0
digits,10,20,IID,0.0,10.0,0.9899437913929929
digits,10,20,Dirichlet (α=10.0),0.0,10.0,0.9814098525557757
digits,10,20,Dirichlet (α=1.0),0.0,9.7,0.8577775357077171
digits,10,20,Dirichlet (α=0.5),0.0,9.2,0.7401088035467618
digits,10,20,Dirichlet (α=0.1),0.0,5.8,0.47937015452164944
digits,10,20,Forcé (1 classe/client),1.0,1.0,0.0
digits,10,21,IID,0.0,10.0,0.990266990576497
digits,10,21,Dirichlet (α=10.0),0.0,10.0,0.984845190927618
digits,10,21,Dirichlet (α=1.0),0.0,9.7,0.8405008490883089
digits,10,21,Dirichlet (α=0.5),0.0,8.9,0.7533196736328928
digits,10,21,Dirichlet (α=0.1),0.0,5.5,0.3794335643219815
digits,10,21,Forcé (1 classe/client),1.0,1.0,0.0
digits,10,22,IID,0.0,10.0,0.9852997467074379
digits,10,22,Dirichlet (α=10.0),0.0,10.0,0.9896013148137213
digits,10,22,Dirichlet (α=1.0),0.0,9.7,0.8748271629402812
digits,10,22,Dirichlet (α=0.5),0.0,9.0,0.7284143528251217
digits,10,22,Dirichlet (α=0.1),0.0,6.2,0.4615998018002534
digits,10,22,Forcé (1 classe/client),1.0,1.0,0.0
digits,10,23,IID,0.0,10.0,0.9922189269667626
digits,10,23,Dirichlet (α=10.0),0.0,10.0,0.9749946141872362
digits,10,23,Dirichlet (α=1.0),0.0,9.5,0.852443924250425
digits,10,23,Dirichlet (α=0.5),0.0,9.4,0.8064987085754959
digits,10,23,Dirichlet (α=0.1),0.0,5.6,0.4328834033041802
digits,10,23,Forcé (1 classe/client),1.0,1.0,0.0
digits,10,24,IID,0.0,10.0,0.9894911708549723
digits,10,24,Dirichlet (α=10.0),0.0,10.0,0.9836626025315862
digits,10,24,Dirichlet (α=1.0),0.0,9.6,0.841711020639331
digits,10,24,Dirichlet (α=0.5),0.0,9.1,0.758374817989236
digits,10,24,Dirichlet (α=0.1),0.0,5.9,0.5220665902106185
digits,10,24,Forcé (1 classe/client),1.0,1.0,0.0
digits,10,25,IID,0.0,10.0,0.9894390809492771
digits,10,25,Dirichlet (α=10.0),0.0,10.0,0.9853599183387024
digits,10,25,Dirichlet (α=1.0),0.0,9.5,0.844702170132825
digits,10,25,Dirichlet (α=0.5),0.0,9.0,0.7389869522507094
digits,10,25,Dirichlet (α=0.1),0.0,6.6,0.5590899882027355
digits,10,25,Forcé (1 classe/client),1.0,1.0,0.0
digits,10,26,IID,0.0,10.0,0.9904836977625425
digits,10,26,Dirichlet (α=10.0),0.0,10.0,0.9847227165968777
digits,10,26,Dirichlet (α=1.0),0.0,9.4,0.8517326702452989
digits,10,26,Dirichlet (α=0.5),0.0,9.0,0.7299468289236934
digits,10,26,Dirichlet (α=0.1),0.0,5.6,0.47140583235994227
digits,10,26,Forcé (1 classe/client),1.0,1.0,0.0
digits,10,27,IID,0.0,10.0,0.9885121646678963
digits,10,27,Dirichlet (α=10.0),0.0,10.0,0.9783446848404285
digits,10,27,Dirichlet (α=1.0),0.0,9.9,0.8453830170312319
digits,10,27,Dirichlet (α=0.5),0.0,9.4,0.7424428873525167
digits,10,27,Dirichlet (α=0.1),0.0,6.0,0.515060726511541
digits,10,27,Forcé (1 classe/client),1.0,1.0,0.0
digits,10,28,IID,0.0,10.0,0.9903865804739288
digits,10,28,Dirichlet (α=10.0),0.0,10.0,0.9808665504181631
digits,10,28,Dirichlet (α=1.0),0.0,9.7,0.8756873050562952
digits,10,28,Dirichlet (α=0.5),0.0,9.2,0.7514163895255004
digits,10,28,Dirichlet (α=0.1),0.0,6.0,0.45755087274260725
digits,10,28,Forcé (1 classe/client),1.0,1.0,0.0
digits,10,29,IID,0.0,10.0,0.9919138622329104
digits,10,29,Dirichlet (α=10.0),0.0,10.0,0.9802425763469762
digits,10,29,Dirichlet (α=1.0),0.0,9.5,0.8526548164332277
digits,10,29,Dirichlet (α=0.5),0.0,9.3,0.7756028975949398
digits,10,29,Dirichlet (α=0.1),0.2,5.3,0.41543180200122587
digits,10,29,Forcé (1 classe/client),1.0,1.0,0.0
digits,20,0,IID,0.0,10.0,0.9835151218177334
digits,20,0,Dirichlet (α=10.0),0.0,10.0,0.9813052638507835
digits,20,0,Dirichlet (α=1.0),0.0,9.5,0.8415503767970021
digits,20,0,Dirichlet (α=0.5),0.0,8.6,0.7506275772530974
digits,20,0,Dirichlet (α=0.1),0.15,4.1,0.27939567093443973
digits,20,0,Forcé (1 classe/client),1.0,1.0,0.0
digits,20,1,IID,0.0,10.0,0.9792083344423071
digits,20,1,Dirichlet (α=10.0),0.0,10.0,0.9788734359854058
digits,20,1,Dirichlet (α=1.0),0.0,9.45,0.8416020253864499
digits,20,1,Dirichlet (α=0.5),0.0,8.75,0.7202878983547685
digits,20,1,Dirichlet (α=0.1),0.05,4.95,0.35848114059305153
digits,20,1,Forcé (1 classe/client),1.0,1.0,0.0
digits,20,2,IID,0.0,10.0,0.9804202827629537
digits,20,2,Dirichlet (α=10.0),0.0,10.0,0.9799386961699355
digits,20,2,Dirichlet (α=1.0),0.0,9.5,0.8506424389132897
digits,20,2,Dirichlet (α=0.5),0.0,8.65,0.7569555834197336
digits,20,2,Dirichlet (α=0.1),0.05,4.75,0.3519726462798261
digits,20,2,Forcé (1 classe/client),1.0,1.0,0.0
digits,20,3,IID,0.0,10.0,0.9793684596137968
digits,20,3,Dirichlet (α=10.0),0.0,10.0,0.9833339755976569
digits,20,3,Dirichlet (α=1.0),0.0,9.4,0.8503865869354572
digits,20,3,Dirichlet (α=0.5),0.0,8.5,0.7291245682502593
digits,20,3,Dirichlet (α=0.1),0.0,4.8,0.37873793926383437
digits,20,3,Forcé (1 classe/client),1.0,1.0,0.0
digits,20,4,IID,0.0,10.0,0.981235405633859
digits,20,4,Dirichlet (α=10.0),0.0,10.0,0.9840884190324388
digits,20,4,Dirichlet (α=1.0),0.0,9.2,0.8155851898702877
digits,20,4,Dirichlet (α=0.5),0.0,8.2,0.7056972718050918
digits,20,4,Dirichlet (α=0.1),0.05,4.3,0.38653182963513083
digits,20,4,Forcé (1 classe/client),1.0,1.0,0.0
digits,20,5,IID,0.0,10.0,0.9795307556469994
digits,20,5,Dirichlet (α=10.0),0.0,10.0,0.9813022507335987
digits,20,5,Dirichlet (α=1.0),0.0,9.85,0.8361108547731251
digits,20,5,Dirichlet (α=0.5),0.0,8.4,0.6826862173025792
digits,20,5,Dirichlet (α=0.1),0.05,5.1,0.4394823996068135
digits,20,5,Forcé (1 classe/client),1.0,1.0,0.0
digits,20,6,IID,0.0,10.0,0.9778791246066524
digits,20,6,Dirichlet (α=10.0),0.0,10.0,0.9808127021006575
digits,20,6,Dirichlet (α=1.0),0.0,9.7,0.8662675213750969
digits,20,6,Dirichlet (α=0.5),0.0,8.8,0.7272992036471277
digits,20,6,Dirichlet (α=0.1),0.05,5.2,0.40099645829442965
digits,20,6,Forcé (1 classe/client),1.0,1.0,0.0
digits,20,7,IID,0.0,10.0,0.9801977099538612
digits,20,7,Dirichlet (α=10.0),0.0,10.0,0.9807165484502347
digits,20,7,Dirichlet (α=1.0),0.0,9.7,0.8328583517811868
