Attack,Partition,Aggregator,Iteration,TestAccuracy,TestLoss,xi,A
static,iid,CC,0,0.0974,2.328935196304321,1.1451735496520996,1.376362919807434
static,iid,CC,1,0.1026,2.3195066547393797,1.0622180700302124,1.3106859922409058
static,iid,CC,2,0.1091,2.3100754608154297,0.9682891964912415,1.222978949546814
static,iid,CC,3,0.115,2.3006570110321043,0.8572755455970764,1.1861169338226318
static,iid,CC,4,0.1223,2.2913053123474123,0.7876906394958496,1.1436476707458496
static,iid,CC,5,0.1304,2.2820793464660643,0.727674126625061,1.0959028005599976
static,iid,CC,6,0.1405,2.2729545372009277,0.6895918846130371,1.0518168210983276
static,iid,CC,7,0.1494,2.2638976917266844,0.5942914485931396,1.0118809938430786
static,iid,CC,8,0.1592,2.2549345016479494,0.5273183584213257,0.9740344285964966
static,iid,CC,9,0.17,2.246118046951294,0.49555498361587524,0.959242045879364
static,iid,LFighter,0,0.1012,2.280338116455078,1.2060548067092896,1.6438062191009521
static,iid,LFighter,1,0.1164,2.2694296718597413,1.071866750717163,1.5352150201797485
static,iid,LFighter,2,0.1342,2.2586127544403074,0.9940372705459595,1.4726768732070923
static,iid,LFighter,3,0.1542,2.2478823261260987,0.8837829828262329,1.4160881042480469
static,iid,LFighter,4,0.1762,2.2371963539123536,0.8077739477157593,1.337337851524353
static,iid,LFighter,5,0.2015,2.2266018211364744,0.7277578115463257,1.3110733032226562
static,iid,LFighter,6,0.2205,2.216085467147827,0.678338885307312,1.2463017702102661
static,iid,LFighter,7,0.2428,2.2056562313079833,0.6192725896835327,1.184073567390442
static,iid,LFighter,8,0.2669,2.1952965518951415,0.6047016382217407,1.1341941356658936
static,iid,LFighter,9,0.2869,2.184989295578003,0.5459455847740173,1.0857216119766235
static,dirichlet,Mean,0,0.0646,2.335507514190674,2.218060255050659,2.153430700302124
static,dirichlet,Mean,1,0.0694,2.326418014907837,2.123694658279419,2.119142532348633
static,dirichlet,Mean,2,0.0774,2.3174171630859375,2.0976922512054443,2.094517707824707
static,dirichlet,Mean,3,0.0859,2.3085177642822265,2.0557568073272705,2.0468411445617676
static,dirichlet,Mean,4,0.0962,2.299690544128418,2.0595853328704834,2.0141255855560303
static,dirichlet,Mean,5,0.1078,2.2909674118041994,2.018273115158081,1.9692108631134033
static,dirichlet,Mean,6,0.1214,2.2822855350494384,1.9984939098358154,1.929456353187561
static,dirichlet,Mean,7,0.1369,2.2736960178375245,2.0095317363739014,1.909072756767273
static,dirichlet,Mean,8,0.155,2.265170381164551,2.02945613861084,1.9189000129699707
static,dirichlet,Mean,9,0.1716,2.256704570007324,2.0113139152526855,1.9354135990142822
static,dirichlet,TriMean,0,0.1009,2.342878311920166,3.2028021812438965,1.9150588512420654
static,dirichlet,TriMean,1,0.1081,2.3351453720092774,3.2186343669891357,1.8452645540237427
static,dirichlet,TriMean,2,0.1189,2.3275048164367678,3.1843008995056152,1.7615865468978882
static,dirichlet,TriMean,3,0.1261,2.3199574634552,3.1276445388793945,1.693652629852295
static,dirichlet,TriMean,4,0.1365,2.3124375297546385,3.1557729244232178,1.6827244758605957
static,dirichlet,TriMean,5,0.1432,2.3049492794036865,3.069624900817871,1.625411033630371
static,dirichlet,TriMean,6,0.1492,2.297514463806152,3.0478456020355225,1.6505457162857056
static,dirichlet,TriMean,7,0.1556,2.2901711544036867,3.0562589168548584,1.646907091140747
static,dirichlet,TriMean,8,0.1623,2.2829035400390625,3.0439884662628174,1.6393672227859497
static,dirichlet,TriMean,9,0.1679,2.275742979049683,3.032637357711792,1.6752369403839111
static,dirichlet,FABA,0,0.0601,2.3298622966766356,2.7194206714630127,2.0437817573547363
static,dirichlet,FABA,1,0.0674,2.3208960189819337,2.676084518432617,2.0109753608703613
static,dirichlet,FABA,2,0.0772,2.312074433135986,2.6361656188964844,1.9505633115768433
